DATE,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01
AK,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75
AL,,,,,,,,,,,,,,
AR,5.15,5.15,5.15,5.15,5.15,5.15,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
AZ,,,,,,,6.75,6.90,7.25,7.25,7.35,7.65,7.80,7.90
CA,6.25,6.75,6.75,6.75,6.75,6.75,7.50,8.00,8.00,8.00,8.00,8.00,8.00,9.00
CO,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8.00
CT,6.40,6.70,6.90,7.10,7.10,7.40,7.65,7.65,8.00,8.25,8.25,8.25,8.25,8.70
DC,6.15,6.15,6.15,6.15,6.60,7.00,7.00,7.00,7.55,8.25,8.25,8.25,8.25,9.50
DE,6.15,6.15,6.15,6.15,6.15,6.15,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75
FL,,,,,,6.40,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93
GA,3.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
HI,5.25,5.75,6.25,6.25,6.25,6.75,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
IA,5.15,5.15,5.15,5.15,5.15,5.15,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25
ID,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
IL,5.15,5.15,5.15,5.50,6.50,6.50,6.50,7.50,7.75,8.00,8.25,8.25,8.25,8.25
IN,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
KS,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25
KY,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
LA,,,,,,,,,,,,,,
MA,6.75,6.75,6.75,6.75,6.75,6.75,7.50,8.00,8.00,8.00,8.00,8.00,8.00,8.00
MD,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25
ME,5.15,5.75,6.25,6.25,6.35,6.50,6.75,7.00,7.25,7.50,7.50,7.50,7.50,7.50
MI,5.15,5.15,5.15,5.15,5.15,5.15,6.95,7.15,7.40,7.40,7.40,7.40,7.40,8.15
MN,5.15,5.15,5.15,5.15,5.15,6.15,6.16,6.16,6.16,6.16,6.16,6.16,6.15,8.00
MO,5.15,5.15,5.15,5.15,5.15,5.15,6.50,6.65,7.05,7.25,7.25,7.25,7.35,7.50
MS,,,,,,,,,,,,,,
MT,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.25,6.90,7.25,7.35,7.65,7.80,7.90
NC,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25
ND,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
NE,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
NH,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.50,7.25,7.25,7.25,7.25,7.25,7.25
NJ,5.15,5.15,5.15,5.15,5.15,6.15,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.25
NM,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.50,7.50,7.50,7.50,7.50,7.50,7.50
NV,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.33,6.85,7.55,8.25,8.25,8.25,8.25
NY,5.15,5.15,5.15,5.15,6.00,6.75,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.00
OH,4.25,4.25,4.25,4.25,4.25,4.25,6.85,7.00,7.30,7.30,7.40,7.70,7.85,7.95
OK,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
OR,6.50,6.50,6.90,7.05,7.25,7.50,7.80,7.95,8.40,8.40,8.50,8.80,8.95,9.10
PA,5.15,5.15,5.15,5.15,5.15,5.15,6.25,7.15,7.15,7.25,7.25,7.25,7.25,7.25
RI,6.15,6.15,6.15,6.75,6.75,6.75,7.40,7.40,7.40,7.40,7.40,7.40,7.75,8.00
SC,,,,,,,,,,,,,,
SD,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
TN,,,,,,,,,,,,,,
TX,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
UT,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
VA,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
VT,6.25,6.25,6.25,6.75,7,7.25,7.53,7.68,8.06,8.06,8.15,8.46,8.6,8.73
WA,6.72,6.9,7.01,7.16,7.35,7.63,7.93,8.07,8.55,8.55,8.67,9.04,9.19,9.32
WI,5.15,5.15,5.15,5.15,5.15,5.7,6.5,6.5,6.5,7.25,7.25,7.25,7.25,7.25
WV,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25
WY,1.6,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15